town,age_group,males_white_non_hispanic,males_black,males_am_indian,males_pac_islander,males_hispanic,females_white_non_hispanic,females_black,females_am_indian,females_pac_islander,females_hispanic
Haddam,0--4,213,2,0,0,5,181,3,0,2,2
,5--9,266,4,0,5,4,238,1,1,6,4
,10--14,265,2,0,7,4,222,7,1,3,2
,15--19,227,6,1,3,4,193,3,0,3,5
,20--24,117,2,0,2,1,107,0,0,1,2
,25--29,129,1,2,1,4,133,4,0,0,1
,30--34,223,1,2,2,3,227,3,0,3,5
,35--39,322,5,0,2,4,331,4,0,6,2
,40--44,374,0,1,2,2,362,3,0,1,3
,45--49,323,2,0,2,1,349,3,0,5,5
,50--54,327,2,1,1,3,311,2,0,1,1
,55--59,254,4,0,3,2,261,6,0,1,2
,60--64,169,2,1,0,3,147,0,0,1,1
,65--69,97,2,0,1,1,109,2,0,0,0
,70--74,80,2,0,0,0,85,1,1,2,0
,75--79,63,0,0,1,0,88,1,0,0,1
,80--84,34,0,0,0,0,53,0,0,0,1
,85+,31,0,0,0,0,37,0,0,0,0
Hamden,0--4,960,357,0,81,116,927,329,0,114,134
,5--9,1101,439,1,68,142,1019,425,0,70,109
,10--14,1162,403,2,46,135,1099,429,1,67,97
,15--19,1427,364,4,48,117,1869,326,5,58,112
,20--24,1488,247,3,57,91,2047,318,3,87,105
,25--29,1168,256,5,133,97,1148,294,3,142,113
,30--34,1321,350,3,162,123,1323,454,4,154,126
,35--39,1463,362,10,131,119,1471,488,4,120,123
,40--44,1545,308,7,78,95,1601,404,3,73,85
,45--49,1489,214,1,52,49,1666,348,4,63,66
,50--54,1383,228,4,49,34,1455,332,4,50,53
,55--59,985,166,1,31,28,1145,211,1,51,31
,60--64,781,134,0,24,15,963,175,0,26,17
,65--69,765,92,1,16,3,983,133,1,22,20
,70--74,859,62,1,13,4,1202,107,2,13,11
,75--79,849,40,1,9,4,1275,68,0,7,16
,80--84,612,14,1,2,4,1089,38,2,3,5
,85+,445,7,1,0,1,1204,43,0,9,3
Hampton,0--4,57,0,1,1,2,41,0,0,1,1
,5--9,61,0,0,1,0,64,0,0,1,1
,10--14,69,0,1,1,2,71,0,0,1,2
,15--19,62,0,0,0,4,46,1,1,0,1
,20--24,25,0,1,0,2,19,0,0,1,1
,25--29,32,0,0,0,1,36,0,0,2,0
,30--34,45,0,0,1,0,57,0,0,1,0
,35--39,71,0,0,0,2,78,0,1,1,2
,40--44,93,0,0,2,0,91,0,2,0,3
,45--49,87,1,0,0,1,83,0,0,1,1
,50--54,82,0,0,0,1,79,3,0,1,2
,55--59,42,1,1,0,1,52,0,0,1,0
,60--64,33,0,1,0,1,24,0,0,0,0
,65--69,31,0,0,0,1,25,0,1,0,0
,70--74,31,0,0,0,0,26,0,1,0,0
,75--79,22,0,0,0,0,30,0,0,0,0
,80--84,6,0,0,0,0,11,1,0,0,0
,85+,5,0,0,0,0,13,0,0,0,0
Hartford,0--4,389,2028,22,73,2673,363,1855,18,77,2540
,5--9,390,2189,21,66,2762,348,2098,14,71,2724
,10--14,368,2020,10,55,2738,342,1883,7,51,2537
,15--19,1112,1958,22,106,2456,1186,1973,17,100,2483
,20--24,2017,1590,17,208,2076,1850,1925,15,179,2376
,25--29,936,1427,14,214,1932,730,1868,17,152,2211
,30--34,850,1542,14,132,1903,631,1882,12,100,2091
,35--39,837,1667,9,94,1721,654,2104,21,59,1960
,40--44,904,1601,15,77,1399,727,1892,18,62,1625
,45--49,838,1249,22,70,1105,729,1567,13,70,1387
,50--54,837,1051,13,72,1043,751,1300,14,71,1239
,55--59,635,800,10,52,690,620,1054,11,55,831
,60--64,462,675,7,37,510,548,965,10,38,633
,65--69,458,526,4,22,352,547,781,7,27,454
,70--74,520,441,6,9,216,647,617,5,13,270
,75--79,477,312,3,4,151,711,486,7,15,194
,80--84,333,151,2,4,93,662,280,3,8,131
,85+,297,79,5,5,63,828,258,3,6,113
Hartland,0--4,52,0,0,2,1,53,0,0,2,0
,5--9,70,0,0,4,3,73,0,0,0,0
,10--14,87,0,0,1,2,90,0,0,0,1
,15--19,71,0,0,1,0,81,0,0,1,0
,20--24,32,0,0,0,0,25,0,0,1,0
,25--29,33,0,0,0,0,40,0,0,0,1
,30--34,57,0,0,0,0,55,0,0,1,0
,35--39,86,0,0,0,0,87,0,0,0,2
,40--44,110,0,0,0,0,121,0,0,1,0
,45--49,107,0,0,0,4,99,1,0,0,0
,50--54,75,1,0,0,0,69,0,1,1,0
,55--59,80,0,0,0,0,66,0,0,0,0
,60--64,29,0,0,0,0,25,0,0,0,0
,65--69,37,0,0,0,0,39,0,0,0,0
,70--74,27,0,0,0,0,26,0,0,0,0
,75--79,16,0,0,0,0,26,0,0,0,0
,80--84,16,0,0,0,0,11,0,0,0,0
,85+,7,0,0,0,0,9,0,0,0,0
Harwinton,0--4,157,0,0,1,3,135,0,0,1,4
,5--9,191,0,0,1,4,156,0,0,3,3
,10--14,204,1,2,7,2,210,2,0,5,5
,15--19,183,0,0,0,2,168,0,0,0,2
,20--24,92,0,0,0,0,63,0,0,0,0
,25--29,87,0,0,1,0,88,0,0,0,3
,30--34,141,0,1,1,1,169,0,0,0,3
,35--39,198,1,0,1,3,212,0,0,1,0
,40--44,253,3,1,1,0,269,0,0,2,1
,45--49,232,0,0,3,0,222,0,0,0,3
,50--54,237,0,0,0,0,229,1,0,0,2
,55--59,206,0,0,0,1,192,0,0,2,1
,60--64,125,0,0,1,1,101,0,1,2,0
,65--69,88,0,0,0,0,96,0,0,0,1
,70--74,85,0,0,1,0,94,0,0,0,0
,75--79,73,0,0,0,0,86,0,0,0,0
,80--84,42,0,0,0,0,58,0,0,0,0
,85+,22,0,0,0,0,43,0,0,1,0
Hebron,0--4,402,3,0,3,7,347,3,1,4,7
,5--9,340,2,0,5,3,331,2,2,3,5
,10--14,378,3,1,2,8,356,4,0,1,2
,15--19,264,5,1,1,6,237,0,0,2,6
,20--24,120,1,0,0,1,113,1,0,1,0
,25--29,149,1,0,1,1,159,0,0,2,0
,30--34,330,4,0,1,1,359,3,0,6,10
,35--39,395,3,0,5,4,454,3,2,3,7
,40--44,474,1,2,1,2,500,2,0,2,6
,45--49,392,2,0,2,3,385,3,0,1,2
,50--54,373,1,1,0,1,346,2,3,1,2
,55--59,227,2,1,0,2,208,1,0,1,1
,60--64,150,6,0,1,0,120,2,1,1,0
,65--69,77,0,0,1,0,85,0,0,1,1
,70--74,64,0,0,1,0,69,0,0,0,0
,75--79,47,0,0,0,0,75,0,0,0,0
,80--84,28,1,0,0,0,41,0,0,0,0
,85+,12,0,0,0,0,21,0,0,0,0
Kent,0--4,73,0,3,2,9,88,2,0,1,2
,5--9,85,0,1,1,7,104,0,2,0,2
,10--14,100,0,0,2,0,77,2,0,2,3
,15--19,69,1,0,1,2,45,0,0,0,4
,20--24,48,0,0,1,4,56,0,1,0,2
,25--29,45,0,1,0,4,59,1,0,3,4
,30--34,79,0,3,1,2,80,0,1,2,2
,35--39,109,0,2,1,5,118,1,0,0,1
,40--44,112,1,1,0,3,106,2,0,0,3
,45--49,122,2,0,0,2,124,1,1,1,3
,50--54,107,1,2,2,2,101,1,2,0,0
,55--59,89,0,0,0,2,85,0,0,1,1
,60--64,63,0,2,1,1,79,0,0,0,1
,65--69,57,0,0,0,0,57,1,0,0,1
,70--74,51,0,0,0,0,60,0,1,0,0
,75--79,42,0,0,0,0,52,0,0,0,0
,80--84,33,0,1,0,0,57,0,0,0,0
,85+,27,0,0,0,0,71,0,0,0,0
Killingly,0--4,483,14,3,10,22,436,14,0,6,19
,5--9,549,15,3,10,28,510,19,10,8,27
,10--14,626,17,6,15,26,567,18,5,14,28
,15--19,542,10,4,18,25,487,21,6,16,15
,20--24,421,7,5,12,10,427,6,4,13,12
,25--29,483,6,1,21,14,454,3,0,17,12
,30--34,556,8,6,9,17,571,13,1,7,18
,35--39,638,15,3,16,13,663,6,4,9,13
,40--44,623,7,6,6,12,650,7,4,11,13
,45--49,568,13,1,12,8,598,12,3,10,9
,50--54,510,7,3,4,5,499,2,5,5,6
,55--59,358,5,3,3,4,405,2,3,4,2
,60--64,342,1,1,3,2,351,0,2,5,1
,65--69,274,1,0,3,2,276,0,0,3,0
,70--74,221,1,0,0,1,277,0,0,0,0
,75--79,162,4,0,1,0,257,0,0,0,2
,80--84,116,0,0,0,1,213,1,1,1,1
,85+,98,0,0,0,2,271,4,0,0,2
Killingworth,0--4,199,3,0,2,5,228,2,0,8,4
,5--9,262,2,0,2,5,221,3,0,2,6
,10--14,211,1,0,1,3,215,0,0,3,3
,15--19,166,4,0,1,0,140,0,0,3,3
,20--24,69,0,0,1,0,63,0,0,2,0
,25--29,74,0,0,2,0,88,2,0,0,0
,30--34,187,1,0,1,3,216,1,0,5,2
,35--39,280,1,2,4,5,298,1,0,5,3
,40--44,289,4,1,3,8,286,3,1,1,5
,45--49,243,1,1,0,2,265,1,0,3,3
,50--54,289,1,1,3,1,256,0,1,4,3
,55--59,204,2,0,1,0,184,1,0,0,4
,60--64,117,0,0,1,1,114,0,0,0,0
,65--69,120,0,0,0,0,102,1,0,0,1
,70--74,89,0,0,0,1,90,0,0,0,0
,75--79,58,0,0,0,0,75,0,0,0,0
,80--84,46,0,0,0,0,63,0,0,0,2
,85+,21,0,0,0,0,46,0,0,0,0
Lebanon,0--4,215,5,1,0,5,212,3,0,0,7
,5--9,240,2,0,1,5,267,2,4,3,4
,10--14,299,3,2,3,9,240,1,1,2,4
,15--19,302,12,7,2,10,230,2,2,0,2
,20--24,116,1,1,0,4,92,1,1,0,4
,25--29,110,1,3,2,10,123,0,0,0,3
,30--34,220,0,0,1,1,235,0,0,2,4
,35--39,323,1,1,0,6,334,4,0,0,6
,40--44,335,4,0,0,7,394,1,2,2,2
,45--49,322,3,0,1,6,286,2,2,2,5
,50--54,256,1,2,2,1,257,3,1,0,3
,55--59,198,2,2,1,3,182,0,1,1,1
,60--64,129,0,1,1,2,126,1,0,0,0
,65--69,107,1,0,0,0,94,1,1,0,1
,70--74,81,1,0,0,1,88,0,0,0,0
,75--79,57,0,0,0,0,69,0,0,0,0
,80--84,33,0,0,0,1,46,0,0,0,1
,85+,19,0,0,0,0,55,1,0,0,0
Ledyard,0--4,376,16,29,13,21,374,21,32,13,15
,5--9,487,33,31,13,29,503,22,23,17,23
,10--14,557,22,23,13,30,564,18,27,16,26
,15--19,442,25,35,6,14,460,24,24,15,21
,20--24,276,19,19,12,13,250,10,16,10,9
,25--29,286,16,12,6,16,289,11,11,13,12
,30--34,424,22,15,12,20,459,16,20,19,18
,35--39,638,25,8,16,17,634,15,20,25,18
,40--44,646,16,20,6,16,649,27,21,15,17
,45--49,544,25,12,10,8,577,17,19,19,11
,50--54,483,9,11,12,13,491,12,11,14,12
,55--59,395,11,8,11,9,385,10,6,14,4
,60--64,270,11,3,7,4,279,4,1,7,3
,65--69,203,4,5,5,0,221,3,5,5,2
,70--74,182,5,5,2,0,188,4,4,5,2
,75--79,107,5,3,0,0,120,4,6,3,0
,80--84,57,0,0,0,0,82,4,3,1,0
,85+,25,0,0,0,0,53,0,1,0,0
Lisbon,0--4,121,3,2,2,0,118,3,1,3,1
,5--9,148,2,1,2,1,139,4,1,1,1
,10--14,170,2,2,1,1,135,2,2,0,1
,15--19,145,1,0,0,1,125,0,0,0,2
,20--24,91,2,0,0,0,73,0,0,0,0
,25--29,80,1,1,0,1,91,0,2,0,3
,30--34,127,2,2,3,1,138,0,1,0,0
,35--39,169,3,0,1,4,179,2,1,1,0
,40--44,201,0,2,1,0,223,0,0,2,2
,45--49,179,3,2,0,1,167,0,0,1,2
,50--54,150,1,0,0,1,154,0,0,0,1
,55--59,125,1,0,1,0,125,1,0,0,0
,60--64,75,0,0,0,1,72,0,0,0,0
,65--69,70,0,0,0,1,68,1,0,0,0
,70--74,52,0,0,0,0,71,0,0,0,0
,75--79,43,0,0,1,0,66,0,0,0,0
,80--84,19,0,0,0,0,36,0,0,0,0
,85+,10,0,0,0,0,25,0,0,0,0
Litchfield,0--4,181,2,0,2,5,206,3,2,2,5
,5--9,285,1,0,4,7,307,0,0,0,5
,10--14,308,7,1,4,13,310,2,0,8,17
,15--19,241,14,2,5,21,216,5,1,1,13
,20--24,89,1,0,2,1,100,0,0,0,0
,25--29,124,0,0,0,3,118,0,0,0,2
,30--34,216,0,1,1,3,205,2,0,2,3
,35--39,306,3,1,2,6,351,3,1,3,4
,40--44,344,2,1,0,3,402,2,0,1,2
,45--49,361,3,1,1,2,367,3,3,2,1
,50--54,348,2,4,1,3,350,1,1,0,2
,55--59,283,0,2,0,2,262,0,2,2,3
,60--64,194,0,0,1,1,194,0,0,1,1
,65--69,162,2,0,2,0,173,0,0,2,0
,70--74,140,0,0,1,1,189,3,0,0,1
,75--79,132,1,0,0,0,170,0,0,0,0
,80--84,100,1,0,0,1,144,0,1,0,0
,85+,53,0,0,0,0,131,1,0,0,0
Lyme,0--4,41,0,0,0,1,59,0,0,4,1
,5--9,52,0,0,1,2,42,0,0,2,1
,10--14,59,0,0,0,1,67,0,0,4,2
,15--19,42,0,0,3,1,43,0,0,0,0
,20--24,25,0,0,0,1,16,0,0,0,0
,25--29,20,0,0,0,1,25,0,0,0,2
,30--34,52,0,1,1,1,39,0,0,1,1
,35--39,68,0,1,1,3,80,0,0,0,0
,40--44,65,0,0,0,3,81,0,0,2,0
,45--49,95,1,0,1,0,99,0,0,3,1
,50--54,124,1,1,0,0,86,0,0,1,1
,55--59,86,0,0,1,0,80,0,0,0,0
,60--64,66,0,0,0,0,53,0,0,0,1
,65--69,47,0,0,2,0,57,0,0,1,1
,70--74,61,0,0,0,0,67,0,0,0,0
,75--79,39,0,0,0,0,32,0,0,0,0
,80--84,30,0,0,0,0,23,0,0,0,0
,85+,15,0,0,0,0,29,0,0,0,0
Madison,0--4,572,5,0,14,14,551,4,0,18,11
,5--9,771,6,2,24,12,709,5,0,21,18
,10--14,713,6,3,10,9,702,4,1,15,19
,15--19,535,3,0,7,9,532,6,2,7,7
,20--24,206,1,0,5,4,156,4,0,6,8
,25--29,188,0,0,2,9,201,2,0,6,2
,30--34,371,2,1,11,7,448,3,0,18,7
,35--39,689,7,3,27,12,808,5,0,25,14
,40--44,793,4,0,15,9,809,5,0,21,5
,45--49,720,2,0,18,6,786,4,0,14,13
,50--54,749,3,1,10,8,812,3,0,5,7
,55--59,576,4,0,6,6,559,0,1,6,3
,60--64,395,2,0,3,1,435,2,1,1,4
,65--69,350,1,0,2,3,336,0,0,3,5
,70--74,290,0,0,1,3,384,0,0,4,2
,75--79,204,0,0,2,1,275,1,0,0,2
,80--84,131,0,0,0,0,227,0,0,0,1
,85+,89,0,0,0,1,202,0,0,1,2
Manchester,0--4,1144,264,5,98,236,1098,275,4,99,213
,5--9,1224,258,7,56,218,1201,245,3,64,193
,10--14,1327,252,4,51,221,1190,268,8,47,191
,15--19,1134,187,6,59,154,1072,212,7,42,172
,20--24,1223,135,8,79,132,1324,190,4,75,160
,25--29,1757,167,3,140,151,1687,239,4,148,193
,30--34,1723,218,4,124,177,1650,295,9,135,184
,35--39,1848,174,6,93,164,1793,273,5,67,192
,40--44,1786,130,4,76,93,1874,183,5,65,128
,45--49,1686,89,1,43,56,1777,123,3,40,84
,50--54,1488,73,11,32,56,1688,126,7,41,38
,55--59,1217,51,6,35,41,1336,78,10,45,48
,60--64,807,33,5,23,20,884,40,1,46,36
,65--69,654,16,0,16,11,810,31,0,12,21
,70--74,733,10,0,15,13,953,26,0,17,8
,75--79,654,5,0,8,7,1022,17,0,7,9
,80--84,529,3,1,3,5,883,8,0,5,10
,85+,367,1,0,3,2,843,12,0,4,4
Mansfield,0--4,226,7,0,36,19,241,11,2,32,18
,5--9,365,12,1,38,16,280,14,2,32,18
,10--14,379,12,1,33,20,350,18,0,23,23
,15--19,1726,107,4,98,90,2105,136,4,142,101
,20--24,2166,244,6,212,154,2169,154,2,178,125
,25--29,369,58,1,119,59,281,15,1,107,24
,30--34,315,52,4,91,35,302,14,1,92,22
,35--39,370,32,3,73,35,365,14,0,54,19
,40--44,395,39,3,29,21,444,8,4,33,14
,45--49,430,18,2,22,20,461,7,1,15,13
,50--54,372,16,0,21,10,377,11,0,19,8
,55--59,311,7,2,11,7,297,3,0,10,6
,60--64,199,3,0,9,2,228,3,0,9,4
,65--69,208,2,0,8,3,223,2,0,6,3
,70--74,207,3,0,3,0,251,1,0,3,2
,75--79,174,1,0,3,0,235,6,0,2,1
,80--84,115,2,0,0,0,164,0,0,0,1
,85+,66,0,0,0,1,151,0,0,1,1
Marlborough,0--4,183,4,0,3,5,179,4,1,1,0
,5--9,242,3,0,5,2,193,3,0,4,2
,10--14,246,2,0,1,5,220,1,0,2,5
,15--19,194,2,0,0,3,149,0,0,0,2
,20--24,83,0,0,0,0,78,0,0,0,0
,25--29,78,1,0,2,1,109,2,0,1,3
,30--34,190,2,0,2,0,197,0,1,3,4
,35--39,259,1,1,6,3,269,1,1,2,2
,40--44,258,2,0,1,3,291,4,0,3,0
,45--49,280,3,0,1,3,293,1,2,1,3
,50--54,269,4,4,5,6,277,4,0,0,2
,55--59,200,5,0,0,2,180,3,0,0,1
,60--64,96,0,0,0,0,87,1,0,0,0
,65--69,61,1,0,0,0,61,2,0,1,1
,70--74,55,1,0,0,0,51,1,0,0,0
,75--79,34,2,0,0,0,54,1,0,0,1
,80--84,23,0,0,0,3,37,1,0,0,1
,85+,15,0,0,0,0,64,1,0,0,0
Meriden,0--4,1128,207,9,33,771,1022,198,6,38,707
,5--9,1244,199,5,26,775,1160,182,1,27,701
,10--14,1315,179,7,31,659,1137,201,6,29,636
,15--19,1126,129,3,34,536,1069,132,4,28,530
,20--24,1011,128,6,39,540,1056,125,4,30,559
,25--29,1156,160,4,34,552,1178,156,5,67,558
,30--34,1387,151,8,46,505,1440,171,6,42,529
,35--39,1692,152,4,44,474,1648,150,4,40,523
,40--44,1738,133,7,41,394,1785,119,7,38,388
,45--49,1651,96,8,38,259,1690,110,7,37,306
,50--54,1497,91,5,19,219,1532,103,2,31,233
,55--59,1093,60,6,12,179,1169,69,4,12,214
,60--64,799,32,2,4,125,911,44,4,8,139
,65--69,805,30,0,5,81,941,35,3,4,85
,70--74,707,18,2,2,28,1008,28,2,3,48
,75--79,689,9,1,5,35,1026,24,0,4,45
,80--84,472,4,0,0,10,862,11,0,2,25
,85+,281,2,1,0,23,788,10,0,0,27
Middlebury,0--4,167,1,0,3,4,166,1,0,3,2
,5--9,236,0,0,4,5,199,1,1,1,2
,10--14,236,0,0,3,6,235,2,0,4,6
,15--19,187,2,0,4,3,190,0,0,2,2
,20--24,97,0,0,0,1,71,0,0,6,2
,25--29,108,1,0,2,1,98,2,0,5,2
,30--34,166,0,0,0,4,178,0,0,1,2
,35--39,227,2,0,2,2,244,0,0,1,6
,40--44,240,2,2,7,8,309,3,0,10,4
,45--49,285,0,1,5,3,275,0,0,3,2
,50--54,270,1,2,3,2,264,0,0,5,6
,55--59,231,0,0,7,0,229,1,0,4,1
,60--64,151,1,0,2,2,150,1,0,0,1
,65--69,133,0,0,0,0,139,1,0,1,0
,70--74,105,0,0,1,0,139,0,0,1,0
,75--79,89,0,0,0,1,134,0,0,1,0
,80--84,73,1,0,1,0,101,0,0,0,0
,85+,37,0,0,0,0,107,0,4,0,1
Middlefield,0--4,114,0,0,0,4,113,1,0,1,3
,5--9,167,1,0,1,2,132,0,0,0,3
,10--14,170,0,0,1,6,156,3,0,5,3
,15--19,115,1,0,1,5,100,0,0,0,1
,20--24,53,1,0,1,3,61,3,0,0,0
,25--29,76,1,0,0,2,67,0,0,1,1
,30--34,149,1,0,2,0,158,0,0,0,5
,35--39,188,2,0,0,1,181,0,0,0,5
,40--44,211,2,0,0,2,213,1,0,0,1
,45--49,190,1,2,0,1,166,0,0,0,2
,50--54,154,3,1,2,2,132,3,0,0,1
,55--59,104,2,0,0,1,115,3,1,1,1
,60--64,84,1,0,0,0,81,1,0,0,1
,65--69,83,0,0,0,0,100,1,0,0,0
,70--74,88,2,0,0,0,97,0,0,0,0
,75--79,65,0,0,0,0,73,0,0,0,0
,80--84,31,0,0,0,0,54,0,0,0,0
,85+,22,0,0,0,0,41,0,0,0,0
Middletown,0--4,1005,248,3,56,149,900,258,3,63,147
,5--9,936,268,3,43,113,884,263,3,33,108
,10--14,829,282,3,28,108,820,288,1,23,92
,15--19,1081,252,2,73,153,1156,261,9,81,119
,20--24,1611,207,7,142,138,1638,226,3,167,159
,25--29,1423,148,2,111,92,1444,208,4,98,119
,30--34,1483,212,5,94,111,1509,240,3,86,115
,35--39,1583,229,4,63,117,1576,263,3,63,97
,40--44,1488,219,4,39,75,1388,223,8,49,79
,45--49,1201,207,10,36,35,1180,198,5,31,55
,50--54,1077,150,3,21,36,1193,177,4,22,35
,55--59,829,109,3,14,28,940,105,6,18,25
,60--64,641,69,2,18,22,731,91,0,19,24
,65--69,579,35,1,3,11,628,58,1,5,12
,70--74,540,17,2,4,11,703,40,0,4,8
,75--79,439,17,0,1,7,682,27,0,5,4
,80--84,338,12,0,3,2,597,26,0,4,7
,85+,253,7,0,0,4,658,25,0,0,13
Milford,0--4,1423,48,0,69,105,1277,50,1,67,78
,5--9,1418,52,0,36,85,1391,57,3,60,97
,10--14,1622,39,3,40,74,1490,46,3,29,91
,15--19,1410,35,2,37,64,1217,30,5,16,43
,20--24,1022,23,2,35,61,939,21,5,37,42
,25--29,1244,36,3,99,67,1367,40,4,94,74
,30--34,1899,34,2,94,90,1882,51,0,84,104
,35--39,2052,52,4,70,66,2126,61,1,61,81
,40--44,2143,54,5,48,71,2209,41,1,55,76
,45--49,1934,31,7,40,50,2026,32,8,24,52
,50--54,1727,36,6,36,44,1843,46,3,35,35
,55--59,1379,24,2,14,28,1540,28,0,28,31
,60--64,976,14,0,19,26,1085,13,0,15,36
,65--69,852,9,1,9,13,1014,9,0,14,17
,70--74,804,8,0,11,13,1064,12,2,8,14
,75--79,719,7,0,4,6,1034,12,1,6,11
,80--84,437,3,0,3,1,776,6,1,4,7
,85+,224,1,0,3,2,632,9,0,2,10
Monroe,0--4,691,9,3,11,17,651,14,0,18,18
,5--9,821,8,0,10,24,756,12,0,10,25
,10--14,801,9,1,7,34,753,11,0,16,25
,15--19,515,13,1,11,24,549,7,0,17,18
,20--24,295,9,1,11,19,246,4,0,5,16
,25--29,303,4,1,7,10,313,7,0,10,12
,30--34,557,6,1,15,12,651,6,0,15,16
,35--39,896,11,1,10,15,899,13,0,16,30
,40--44,864,8,2,15,24,955,10,1,16,31
,45--49,836,7,1,20,22,725,8,1,10,19
,50--54,658,7,0,16,15,734,15,0,13,12
,55--59,512,11,1,5,9,523,13,2,9,7
,60--64,372,5,0,7,5,383,2,0,7,8
,65--69,312,4,1,1,1,333,3,0,2,3
,70--74,245,5,0,0,1,295,5,0,2,6
,75--79,158,1,1,0,0,215,2,0,2,1
,80--84,82,0,0,2,2,146,2,1,1,1
,85+,47,1,0,1,3,134,0,0,0,2
Montville,0--4,456,13,17,15,33,410,15,8,15,34
,5--9,557,22,12,14,34,530,24,6,14,50
,10--14,643,21,9,9,40,548,18,10,15,30
,15--19,507,61,15,17,49,516,18,6,8,24
,20--24,449,189,15,21,133,310,13,4,7,21
,25--29,423,154,13,18,110,375,8,10,18,32
,30--34,660,125,9,18,103,583,12,8,11,23
,35--39,836,105,21,17,65,766,12,8,12,31
,40--44,811,73,19,13,47,688,20,12,19,30
,45--49,647,34,8,14,29,589,13,9,12,14
,50--54,536,21,4,15,10,507,10,7,13,9
,55--59,440,13,5,10,14,475,12,4,4,13
,60--64,344,10,3,10,4,354,8,3,15,7
,65--69,286,7,2,10,4,301,6,5,5,4
,70--74,228,3,4,3,3,278,2,6,1,4
,75--79,158,5,4,4,1,221,6,4,2,1
,80--84,89,1,2,1,3,153,2,0,0,4
,85+,43,2,0,1,1,140,0,2,2,3
Morris,0--4,70,0,0,0,0,56,0,0,1,2
,5--9,72,1,0,0,0,73,0,0,0,1
,10--14,87,1,0,3,2,87,1,0,3,0
,15--19,78,0,0,4,0,68,2,0,0,3
,20--24,30,0,0,0,0,36,0,0,1,0
,25--29,45,0,0,0,2,44,0,0,0,2
,30--34,73,0,0,0,1,75,1,0,0,0
,35--39,80,2,0,0,1,90,0,0,2,1
,40--44,106,1,1,0,2,125,0,0,0,1
,45--49,106,1,0,1,0,99,1,0,1,0
,50--54,96,0,1,1,0,85,0,0,1,0
,55--59,65,0,0,0,1,73,0,0,2,0
,60--64,61,0,0,0,0,48,0,0,2,1
,65--69,40,0,0,2,0,32,2,0,0,0
,70--74,45,1,0,0,0,50,1,0,0,0
,75--79,41,1,0,0,0,35,0,0,0,0
,80--84,18,0,0,0,0,26,0,0,0,0
,85+,10,0,0,0,0,22,0,0,1,0
Naugatuck,0--4,911,62,2,31,84,874,51,4,32,85
,5--9,1050,41,5,22,76,963,52,4,14,82
,10--14,1156,54,0,14,64,1019,59,7,19,81
,15--19,972,35,3,10,57,911,33,7,4,72
,20--24,701,25,2,19,57,664,26,1,33,50
,25--29,834,29,1,60,68,949,34,2,52,61
,30--34,1092,49,3,61,53,1071,42,5,38,59
,35--39,1243,46,3,27,54,1301,52,8,19,57
,40--44,1265,38,3,10,46,1363,32,7,15,47
,45--49,1001,34,2,14,41,993,30,4,12,44
,50--54,888,19,3,11,34,912,29,1,11,28
,55--59,677,23,3,8,17,695,19,6,9,19
,60--64,432,10,2,6,11,520,9,1,6,8
,65--69,363,7,0,3,6,400,9,0,0,11
,70--74,358,10,1,0,4,486,6,0,2,4
,75--79,314,1,0,1,2,494,5,0,0,4
,80--84,221,0,0,0,2,419,5,0,1,7
,85+,130,1,0,0,0,360,0,0,0,1
New Britain,0--4,837,364,4,55,1134,803,319,3,74,1138
,5--9,901,401,3,61,1228,849,346,7,54,1184
,10--14,950,342,7,57,1061,921,337,8,48,1118
,15--19,1331,306,5,66,915,1281,333,7,50,978
,20--24,1867,334,12,88,783,1897,333,3,108,1009
,25--29,1487,304,5,115,774,1393,323,1,120,929
,30--34,1435,331,8,138,662,1266,330,5,99,848
,35--39,1531,253,5,107,608,1367,302,4,71,740
,40--44,1638,298,3,85,497,1533,268,6,57,646
,45--49,1610,206,3,38,395,1498,196,8,51,460
,50--54,1292,153,4,34,356,1337,173,3,32,410
,55--59,946,111,5,32,250,1085,148,1,28,285
,60--64,803,77,2,14,151,935,81,0,14,176
,65--69,777,39,1,12,103,1071,78,0,12,137
,70--74,1017,57,0,12,63,1352,68,2,14,99
,75--79,1001,49,1,7,42,1564,63,4,7,76
,80--84,660,15,2,3,26,1106,32,1,4,44
,85+,478,9,0,3,18,1067,22,1,4,27
New Canaan,0--4,747,3,0,14,11,725,4,0,23,12
,5--9,976,7,0,21,19,882,8,0,20,16
,10--14,836,13,0,27,15,769,8,0,15,16
,15--19,495,7,0,15,12,544,4,0,20,14
,20--24,160,5,0,3,9,197,3,0,7,8
,25--29,198,5,0,6,11,242,6,1,11,14
,30--34,365,9,0,10,8,447,8,0,15,13
,35--39,658,6,0,16,15,798,18,0,26,21
,40--44,903,4,1,26,16,968,10,0,40,23
,45--49,744,6,1,25,14,846,13,0,28,17
,50--54,681,6,0,18,7,712,7,0,21,10
,55--59,589,3,0,16,7,579,11,0,18,9
,60--64,383,4,0,9,3,409,12,0,6,4
,65--69,320,3,0,2,1,361,4,0,7,6
,70--74,298,0,0,3,1,381,6,1,4,3
,75--79,228,3,0,2,2,284,6,0,2,0
,80--84,154,2,0,0,0,211,5,0,2,3
,85+,86,3,0,2,0,222,5,1,0,1
New Fairfield,0--4,509,3,0,4,30,503,3,0,7,20
,5--9,625,5,0,5,22,555,2,0,13,12
,10--14,582,4,1,13,13,557,5,0,13,31
,15--19,432,3,0,12,23,371,2,0,7,21
